4    K, #genre#
LOVENATURE4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion 4K「时尚」,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
纯享4K,http://223.112.176.74:8833/TVOD/1000000004000011651/ystenlive/index.m3u8
CCTV16 奥林匹克4K,http://223.112.176.74:8833/TVOD/5000000008000023254/bestzb/index.m3u8
SiTV欢笑剧场4K,http://223.112.176.74:8833/TVOD/5000000007000010001/bestzb/index.m3u8
华数4K,http://223.112.176.74:8833/TVOD/6000000003000004748/wasusyt/index.m3u8
华数4K,http://223.112.176.74:8833/TVOD/2000000004000000014/hnbblive/index.m3u8
CCTV-4K,http://syswareonline.com:7088/rtp/239.93.42.42:5140
爱上4K,http://syswareonline.com:7088/rtp/239.93.0.97:5140
4K视界,http://syswareonline.com:7088/rtp/239.93.0.14:5140
4K乐享,http://syswareonline.com:7088/rtp/239.93.0.43:5140
央     视,#genre#
CCTV1 综合,http://223.112.176.74:8833/TVOD/6000000001000029752/wasusyt/index.m3u8
CCTV1 综合,http://223.112.176.74:8833/TVOD/1000000001000018602/ystenlive/index.m3u8
CCTV1 综合,http://223.112.176.74:8833/TVOD/5000000004000002226/bestzb/index.m3u8
CCTV1 综合,http://223.112.176.74:8833/TVOD/1000000005000265001/ystenlive/index.m3u8
CCTV1 综合,http://223.112.176.74:8833/TVOD/5000000010000030810/bestzb/index.m3u8
CCTV1 综合,http://223.112.176.74:8833/TVOD/1000000001000021973/ystenlive/index.m3u8
CCTV2 财经,http://223.112.176.74:8833/TVOD/6000000001000014161/wasusyt/index.m3u8
CCTV2 财经,http://223.112.176.74:8833/TVOD/1000000001000023315/ystenlive/index.m3u8
CCTV2 财经,http://223.112.176.74:8833/TVOD/5000000011000031101/bestzb/index.m3u8
CCTV2 财经,http://223.112.176.74:8833/TVOD/1000000005000265002/ystenlive/index.m3u8
CCTV2 财经,http://223.112.176.74:8833/TVOD/1000000001000012442/ystenlive/index.m3u8
CCTV3 综艺,http://223.112.176.74:8833/TVOD/6000000001000022313/wasusyt/index.m3u8
CCTV3 综艺,http://223.112.176.74:8833/TVOD/1000000001000013682/ystenlive/index.m3u8
CCTV3 综艺,http://223.112.176.74:8833/TVOD/5000000004000008883/bestzb/index.m3u8
CCTV3 综艺,http://223.112.176.74:8833/TVOD/1000000005000265003/ystenlive/index.m3u8
CCTV3 综艺,http://223.112.176.74:8833/TVOD/5000000002000020548/bestzb/index.m3u8
CCTV3 综艺,http://223.112.176.74:8833/TVOD/1000000001000011218/ystenlive/index.m3u8
CCTV4 中文国际,http://223.112.176.74:8833/TVOD/1000000005000265004/ystenlive/index.m3u8
CCTV4 中文国际,http://223.112.176.74:8833/TVOD/5000000011000031102/bestzb/index.m3u8
CCTV4 中文国际,http://223.112.176.74:8833/TVOD/1000000002000031664/ystenlive/index.m3u8
CCTV4 中文国际,http://223.112.176.74:8833/TVOD/5000000005000030093/bestzb/index.m3u8
CCTV5 体育,http://223.112.176.74:8833/TVOD/6000000001000016431/wasusyt/index.m3u8
CCTV5 体育,http://223.112.176.74:8833/TVOD/1000000005000025222/ystenlive/index.m3u8
CCTV5 体育,http://223.112.176.74:8833/TVOD/1000000003000030177/ystenlive/index.m3u8
CCTV5 体育,http://223.112.176.74:8833/TVOD/5000000004000008885/bestzb/index.m3u8
CCTV5 体育,http://223.112.176.74:8833/TVOD/1000000005000265005/ystenlive/index.m3u8
CCTV5 体育,http://223.112.176.74:8833/TVOD/5000000010000016619/bestzb/index.m3u8
CCTV5 体育,http://223.112.176.74:8833/TVOD/1000000001000004794/ystenlive/index.m3u8
CCTV5+ 体育赛事,http://223.112.176.74:8833/TVOD/6000000001000015875/wasusyt/index.m3u8
CCTV5+ 体育赛事,http://223.112.176.74:8833/TVOD/1000000001000018504/ystenlive/index.m3u8
CCTV5+ 体育赛事,http://223.112.176.74:8833/TVOD/5000000011000031127/bestzb/index.m3u8
CCTV5+ 体育赛事,http://223.112.176.74:8833/TVOD/1000000005000265016/ystenlive/index.m3u8
CCTV5+ 体育赛事,http://223.112.176.74:8833/TVOD/1000000001000020505/ystenlive/index.m3u8
CCTV6 电影,http://223.112.176.74:8833/TVOD/6000000001000004574/wasusyt/index.m3u8
CCTV6 电影,http://223.112.176.74:8833/TVOD/1000000001000001737/ystenlive/index.m3u8
CCTV6 电影,http://223.112.176.74:8833/TVOD/5000000004000008886/bestzb/index.m3u8
